antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({1279.0}),frozenset({1051.0}),0.03259111098038062,0.08659587610671529,0.007206518222196076,0.2211191335740072,2.553460320691414,1.0,0.004384262413558828,1.1727135217540667,0.6288701451573971,0.0643551352771211,0.14727682298378653,0.15216962113482968
frozenset({57.0}),frozenset({683.0}),0.027884813365885226,0.03826808247786569,0.006118186898844016,0.21940928270042195,5.733479926184662,1.0,0.005051088561078429,1.2320565646094368,0.8492675211864901,0.10191082802547771,0.18834895351010048,0.18964315018956535
frozenset({1192.0}),frozenset({1529.0}),0.02753184104479807,0.028884901608965497,0.006029943818572227,0.21901709401709402,7.58240747993803,1.0,0.005234689298879556,1.2434524378851002,0.8926932551137919,0.11967308814944543,0.19578749493560943,0.21388736574581788
frozenset({1529.0}),frozenset({1173.0}),0.028884901608965497,0.031855751978115715,0.006324087419478189,0.2189409368635438,6.87288553144035,1.0,0.005403937157910709,1.2395275769980316,0.8799170215088984,0.11621621621621622,0.1932410229856565,0.2087317796044404
frozenset({808.0}),frozenset({793.0}),0.026619995881989586,0.01661911345118687,0.005824043297938054,0.21878453038674037,13.164633061164622,1.0,0.0053816425663051415,1.2587831716077453,0.9493095160477006,0.15566037735849056,0.2055820076441138,0.2846135041314233
frozenset({57.0}),frozenset({84.0}),0.027884813365885226,0.040209430243845046,0.006059358178662823,0.2172995780590717,5.404194407662224,1.0,0.004938125720764623,1.2262553371008558,0.8383353696350256,0.09767662399241347,0.1845091558465909,0.18399726525484678
frozenset({1192.0}),frozenset({1483.0}),0.02753184104479807,0.059240521222460804,0.005971115098391035,0.2168803418803419,3.6610133976693064,1.0,0.004340114484683258,1.2012972334730923,0.7474297026410207,0.07389879868947943,0.16756655044573626,0.15883739040392467
frozenset({1248.0}),frozenset({196.0}),0.025002206077006796,0.03726799423478542,0.005412242256669706,0.21647058823529408,5.808485073587446,1.0,0.0044804601847349,1.2287120193700185,0.8490666084280694,0.09518882565959648,0.18613964522564294,0.1808477645201727
frozenset({48.0}),frozenset({1244.0}),0.02503162043709739,0.012295202517869223,0.00538282789657911,0.21504112808460635,17.48984026672814,1.0,0.005075059053954564,1.2582885967923552,0.9670302839663829,0.1685082872928177,0.20526975882225088,0.3264200855734037
frozenset({48.0}),frozenset({959.0}),0.02503162043709739,0.0757419772332853,0.005353413536488514,0.2138660399529965,2.8236131107891347,1.0,0.0034574691112296443,1.1757004146105743,0.6624254132399912,0.05610357583230579,0.14944318503857237,0.14227282580174097
frozenset({1483.0}),frozenset({1163.0}),0.059240521222460804,0.02503162043709739,0.012648174838956378,0.2135054617676266,8.529430298136312,1.0,0.011165288597219927,1.2396378260351553,0.9383470433784227,0.17659137577002051,0.19331277329735116,0.3593966791799355
frozenset({959.0}),frozenset({1483.0}),0.0757419772332853,0.059240521222460804,0.01608965496955614,0.2124271844660194,3.585842596966863,1.0,0.011602660759836559,1.1945047622545184,0.78022099817813,0.13532904502721424,0.16283297346375458,0.24201299640381407
"frozenset({1051.0, 959.0})",frozenset({196.0}),0.028679001088331324,0.03726799423478542,0.00608877253875342,0.2123076923076923,5.696783437556919,1.0,0.005019963691534083,1.22221836669412,0.8488052321728422,0.10171990171990175,0.18181560083668244,0.18784287535668753
frozenset({1279.0}),frozenset({683.0}),0.03259111098038062,0.03826808247786569,0.006912374621290114,0.21209386281588447,5.5423174897399115,1.0,0.005665175298247634,1.2206173706924683,0.8471806197894529,0.10809567617295308,0.18074244721530536,0.19636207360625124
frozenset({959.0}),frozenset({57.0}),0.0757419772332853,0.027884813365885226,0.016030826249374946,0.2116504854368932,7.590170414976853,1.0,0.013918775350261658,1.2331017761491851,0.9394028843228521,0.18300873069173945,0.18903693162873483,0.3932725001024129
frozenset({196.0}),frozenset({1483.0}),0.03726799423478542,0.059240521222460804,0.007824219784098597,0.2099447513812155,3.543938288335245,1.0,0.005616444380714245,1.190751508103039,0.7456156431408495,0.08822553897180763,0.16019421920105,0.17101011153966433
frozenset({1613.0}),frozenset({342.0}),0.02441391887519487,0.03906227020031179,0.005118098655763744,0.20963855421686747,5.366778560023226,1.0,0.00416443556001239,1.2158206032526542,0.8340304325480701,0.08770161290322581,0.1775102368517813,0.17033132530120482
frozenset({808.0}),frozenset({683.0}),0.026619995881989586,0.03826808247786569,0.005559314057122687,0.20883977900552486,5.457283602498715,1.0,0.004540617859150264,1.2155969069239267,0.8390953679240878,0.09370352007932574,0.17735888080654602,0.177056323015445
frozenset({808.0}),frozenset({342.0}),0.026619995881989586,0.03906227020031179,0.005559314057122687,0.20883977900552486,5.346329794315383,1.0,0.004519476585249222,1.2145930802635723,0.8351885108503021,0.09246575342465753,0.1766789913021773,0.1755795280569793
frozenset({1529.0}),frozenset({1192.0}),0.028884901608965497,0.02753184104479807,0.006029943818572227,0.20875763747454174,7.58240747993803,1.0,0.005234689298879556,1.2290395522445408,0.8939370500474655,0.11967308814944543,0.1863565349270136,0.21388736574581788
frozenset({1051.0}),frozenset({1483.0}),0.08659587610671529,0.059240521222460804,0.018001588375444893,0.20788043478260873,3.50909192716204,1.0,0.012871603539167439,1.1876483299833085,0.7828144965733262,0.14081914404049703,0.1579999106182769,0.25587666227710376
